"id","parent_id:id","code","name"
"nace_root","","","NACE"
"nace_A","nace_root","A","AGRICULTURE, FORESTRY AND FISHING"
"nace_1","nace_A","1","Crop and animal production, hunting and related service activities"
"nace_1_1000000000000001","nace_1","1.1000000000000001","Growing of non-perennial crops"
"nace_1_1100000000000001","nace_1_1000000000000001","1.1100000000000001","Growing of cereals (except rice), leguminous crops and oil seeds"
"nace_1_1200000000000001","nace_1_1000000000000001","1.1200000000000001","Growing of rice"
"nace_1_1299999999999999","nace_1_1000000000000001","1.1299999999999999","Growing of vegetables and melons, roots and tubers"
"nace_1_1399999999999999","nace_1_1000000000000001","1.1399999999999999","Growing of sugar cane"
"nace_1_1499999999999999","nace_1_1000000000000001","1.1499999999999999","Growing of tobacco"
"nace_1_1599999999999999","nace_1_1000000000000001","1.1599999999999999","Growing of fibre crops"
"nace_1_1899999999999999","nace_1_1000000000000001","1.1899999999999999","Growing of other non-perennial crops"
"nace_1_2","nace_1","1.2","Growing of perennial crops"
"nace_1_21","nace_1_2","1.21","Growing of grapes"
"nace_1_22","nace_1_2","1.22","Growing of tropical and subtropical fruits"
"nace_1_23","nace_1_2","1.23","Growing of citrus fruits"
"nace_1_24","nace_1_2","1.24","Growing of pome fruits and stone fruits"
"nace_1_25","nace_1_2","1.25","Growing of other tree and bush fruits and nuts"
"nace_1_26","nace_1_2","1.26","Growing of oleaginous fruits"
"nace_1_27","nace_1_2","1.27","Growing of beverage crops"
"nace_1_28","nace_1_2","1.28","Growing of spices, aromatic, drug and pharmaceutical crops"
"nace_1_29","nace_1_2","1.29","Growing of other perennial crops"
"nace_1_3","nace_1","1.3","Plant propagation"
"nace_1_3","nace_1_3","1.3","Plant propagation"
"nace_1_3999999999999999","nace_1","1.3999999999999999","Animal production"
"nace_1_4099999999999999","nace_1_3999999999999999","1.4099999999999999","Raising of dairy cattle"
"nace_1_4199999999999999","nace_1_3999999999999999","1.4199999999999999","Raising of other cattle and buffaloes"
"nace_1_4299999999999999","nace_1_3999999999999999","1.4299999999999999","Raising of horses and other equines"
"nace_1_4399999999999999","nace_1_3999999999999999","1.4399999999999999","Raising of camels and camelids"
